,Cooperations,Defections,Cooperators,Defectors,TFT Performance,TFT Cooperations,VPP Performance,VPP Cooperations,WSLS Performance,WSLS Cooperations,iWSLS Performance,iWSLS Cooperations,Model Params
193,71,69,22,17,7259.0,21,7220.5,14,-1337,0,0,0,"(47, 0.015, 0.7)"
194,77,63,19,18,7297.5,21,7255.5,14,-1323,14,0,0,"(47, 0.015, 0.7)"
195,71,69,22,17,7336.0,21,7297.5,14,-1351,0,0,0,"(47, 0.015, 0.7)"
196,77,63,19,18,7374.5,21,7332.5,14,-1337,14,0,0,"(47, 0.015, 0.7)"
197,71,69,22,17,7413.0,21,7374.5,14,-1365,0,0,0,"(47, 0.015, 0.7)"
198,77,63,19,18,7451.5,21,7409.5,14,-1351,14,0,0,"(47, 0.015, 0.7)"
199,71,69,22,17,7490.0,21,7451.5,14,-1379,0,0,0,"(47, 0.015, 0.7)"
200,77,63,19,18,7528.5,21,7486.5,14,-1365,14,0,0,"(47, 0.015, 0.7)"
201,71,69,22,17,7567.0,21,7528.5,14,-1393,0,0,0,"(47, 0.015, 0.7)"
202,77,63,19,18,7605.5,21,7563.5,14,-1379,14,0,0,"(47, 0.015, 0.7)"
203,71,69,22,17,7644.0,21,7605.5,14,-1407,0,0,0,"(47, 0.015, 0.7)"
204,77,63,19,18,7682.5,21,7640.5,14,-1393,14,0,0,"(47, 0.015, 0.7)"
205,71,69,22,17,7721.0,21,7682.5,14,-1421,0,0,0,"(47, 0.015, 0.7)"
206,77,63,19,18,7759.5,21,7717.5,14,-1407,14,0,0,"(47, 0.015, 0.7)"
207,71,69,22,17,7798.0,21,7759.5,14,-1435,0,0,0,"(47, 0.015, 0.7)"
208,77,63,19,18,7836.5,21,7794.5,14,-1421,14,0,0,"(47, 0.015, 0.7)"
209,71,69,22,17,7875.0,21,7836.5,14,-1449,0,0,0,"(47, 0.015, 0.7)"
210,77,63,19,18,7913.5,21,7871.5,14,-1435,14,0,0,"(47, 0.015, 0.7)"
211,71,69,22,17,7952.0,21,7913.5,14,-1463,0,0,0,"(47, 0.015, 0.7)"
212,77,63,19,18,7990.5,21,7948.5,14,-1449,14,0,0,"(47, 0.015, 0.7)"
213,71,69,22,17,8029.0,21,7990.5,14,-1477,0,0,0,"(47, 0.015, 0.7)"
