,Cooperations,Defections,Cooperators,Defectors,TFT Performance,TFT Cooperations,VPP Performance,VPP Cooperations,WSLS Performance,WSLS Cooperations,Model Params
161,8,0,0,0,724.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
162,8,0,0,0,729.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
163,8,0,0,0,733.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
164,8,0,0,0,738.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
165,8,0,0,0,742.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
166,8,0,0,0,747.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
167,8,0,0,0,751.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
168,8,0,0,0,756.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
169,8,0,0,0,760.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
170,8,0,0,0,765.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
171,8,0,0,0,769.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
172,8,0,0,0,774.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
173,8,0,0,0,778.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
174,8,0,0,0,783.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
175,8,0,0,0,787.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
176,8,0,0,0,792.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
177,8,0,0,0,796.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
178,8,0,0,0,801.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
179,8,0,0,0,805.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
180,8,0,0,0,810.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
181,8,0,0,0,814.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
182,8,0,0,0,819.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
183,8,0,0,0,823.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
184,8,0,0,0,828.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
185,8,0,0,0,832.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
186,8,0,0,0,837.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
187,8,0,0,0,841.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
188,8,0,0,0,846.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
189,8,0,0,0,850.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
190,8,0,0,0,855.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
191,8,0,0,0,859.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
192,8,0,0,0,864.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
193,8,0,0,0,868.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
194,8,0,0,0,873.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
195,8,0,0,0,877.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
196,8,0,0,0,882.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
197,8,0,0,0,886.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
198,8,0,0,0,891.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
199,8,0,0,0,895.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
200,8,0,0,0,900.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
201,8,0,0,0,904.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
202,8,0,0,0,909.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
203,8,0,0,0,913.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
204,8,0,0,0,918.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
205,8,0,0,0,922.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
206,8,0,0,0,927.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
207,8,0,0,0,931.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
208,8,0,0,0,936.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
209,8,0,0,0,940.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
210,8,0,0,0,945.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
211,8,0,0,0,949.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
212,8,0,0,0,954.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
213,8,0,0,0,958.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
214,8,0,0,0,963.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
215,8,0,0,0,967.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
216,8,0,0,0,972.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
217,8,0,0,0,976.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
218,8,0,0,0,981.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
219,8,0,0,0,985.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
220,8,0,0,0,990.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
221,8,0,0,0,994.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
222,8,0,0,0,999.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
223,8,0,0,0,1003.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
224,8,0,0,0,1008.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
225,8,0,0,0,1012.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
226,8,0,0,0,1017.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
227,8,0,0,0,1021.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
228,8,0,0,0,1026.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
229,8,0,0,0,1030.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
230,8,0,0,0,1035.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
231,8,0,0,0,1039.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
232,8,0,0,0,1044.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
233,8,0,0,0,1048.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
234,8,0,0,0,1053.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
235,8,0,0,0,1057.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
236,8,0,0,0,1062.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
237,8,0,0,0,1066.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
238,8,0,0,0,1071.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
239,8,0,0,0,1075.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
240,8,0,0,0,1080.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
241,8,0,0,0,1084.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
242,8,0,0,0,1089.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
243,8,0,0,0,1093.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
244,8,0,0,0,1098.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
245,8,0,0,0,1102.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
246,8,0,0,0,1107.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
247,8,0,0,0,1111.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
248,8,0,0,0,1116.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
249,8,0,0,0,1120.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
250,8,0,0,0,1125.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
251,0,0,0,0,0.0,0,0,0,0.0,0,"(16, 0.001, 0.1)"
252,9,1,0,0,0.0,0,0,0,4.5,3,"(16, 0.001, 0.1)"
253,9,1,0,0,0.0,0,0,0,9.0,3,"(16, 0.001, 0.1)"
254,9,1,0,0,0.0,0,0,0,13.5,3,"(16, 0.001, 0.1)"
255,9,1,0,0,0.0,0,0,0,18.0,3,"(16, 0.001, 0.1)"
256,10,0,0,0,0.0,0,0,0,22.5,3,"(16, 0.001, 0.1)"
257,10,0,0,0,0.0,0,0,0,27.0,3,"(16, 0.001, 0.1)"
258,10,0,0,0,0.0,0,0,0,31.5,3,"(16, 0.001, 0.1)"
259,10,0,0,0,0.0,0,0,0,36.0,3,"(16, 0.001, 0.1)"
260,10,0,0,0,0.0,0,0,0,40.5,3,"(16, 0.001, 0.1)"
261,10,0,0,0,0.0,0,0,0,45.0,3,"(16, 0.001, 0.1)"
262,10,0,0,0,0.0,0,0,0,49.5,3,"(16, 0.001, 0.1)"
263,10,0,0,0,0.0,0,0,0,54.0,3,"(16, 0.001, 0.1)"
264,10,0,0,0,0.0,0,0,0,58.5,3,"(16, 0.001, 0.1)"
265,10,0,0,0,0.0,0,0,0,63.0,3,"(16, 0.001, 0.1)"
266,10,0,0,0,0.0,0,0,0,67.5,3,"(16, 0.001, 0.1)"
267,10,0,0,0,0.0,0,0,0,72.0,3,"(16, 0.001, 0.1)"
268,10,0,0,0,0.0,0,0,0,76.5,3,"(16, 0.001, 0.1)"
269,10,0,0,0,0.0,0,0,0,81.0,3,"(16, 0.001, 0.1)"
270,10,0,0,0,0.0,0,0,0,85.5,3,"(16, 0.001, 0.1)"
271,10,0,0,0,0.0,0,0,0,90.0,3,"(16, 0.001, 0.1)"
272,10,0,0,0,0.0,0,0,0,94.5,3,"(16, 0.001, 0.1)"
273,10,0,0,0,0.0,0,0,0,99.0,3,"(16, 0.001, 0.1)"
274,10,0,0,0,0.0,0,0,0,103.5,3,"(16, 0.001, 0.1)"
275,10,0,0,0,0.0,0,0,0,108.0,3,"(16, 0.001, 0.1)"
276,10,0,0,0,0.0,0,0,0,112.5,3,"(16, 0.001, 0.1)"
277,10,0,0,0,0.0,0,0,0,117.0,3,"(16, 0.001, 0.1)"
278,10,0,0,0,0.0,0,0,0,121.5,3,"(16, 0.001, 0.1)"
279,10,0,0,0,0.0,0,0,0,126.0,3,"(16, 0.001, 0.1)"
280,10,0,0,0,0.0,0,0,0,130.5,3,"(16, 0.001, 0.1)"
281,10,0,0,0,0.0,0,0,0,135.0,3,"(16, 0.001, 0.1)"
282,10,0,0,0,0.0,0,0,0,139.5,3,"(16, 0.001, 0.1)"
283,10,0,0,0,0.0,0,0,0,144.0,3,"(16, 0.001, 0.1)"
284,10,0,0,0,0.0,0,0,0,148.5,3,"(16, 0.001, 0.1)"
285,10,0,0,0,0.0,0,0,0,153.0,3,"(16, 0.001, 0.1)"
286,10,0,0,0,0.0,0,0,0,157.5,3,"(16, 0.001, 0.1)"
287,10,0,0,0,0.0,0,0,0,162.0,3,"(16, 0.001, 0.1)"
288,10,0,0,0,0.0,0,0,0,166.5,3,"(16, 0.001, 0.1)"
289,10,0,0,0,0.0,0,0,0,171.0,3,"(16, 0.001, 0.1)"
290,10,0,0,0,0.0,0,0,0,175.5,3,"(16, 0.001, 0.1)"
291,10,0,0,0,0.0,0,0,0,180.0,3,"(16, 0.001, 0.1)"
292,10,0,0,0,0.0,0,0,0,184.5,3,"(16, 0.001, 0.1)"
293,10,0,0,0,0.0,0,0,0,189.0,3,"(16, 0.001, 0.1)"
294,10,0,0,0,0.0,0,0,0,193.5,3,"(16, 0.001, 0.1)"
295,10,0,0,0,0.0,0,0,0,198.0,3,"(16, 0.001, 0.1)"
296,10,0,0,0,0.0,0,0,0,202.5,3,"(16, 0.001, 0.1)"
297,10,0,0,0,0.0,0,0,0,207.0,3,"(16, 0.001, 0.1)"
298,10,0,0,0,0.0,0,0,0,211.5,3,"(16, 0.001, 0.1)"
299,10,0,0,0,0.0,0,0,0,216.0,3,"(16, 0.001, 0.1)"
300,10,0,0,0,0.0,0,0,0,220.5,3,"(16, 0.001, 0.1)"
301,10,0,0,0,0.0,0,0,0,225.0,3,"(16, 0.001, 0.1)"
302,10,0,0,0,0.0,0,0,0,229.5,3,"(16, 0.001, 0.1)"
303,10,0,0,0,0.0,0,0,0,234.0,3,"(16, 0.001, 0.1)"
304,10,0,0,0,0.0,0,0,0,238.5,3,"(16, 0.001, 0.1)"
305,10,0,0,0,0.0,0,0,0,243.0,3,"(16, 0.001, 0.1)"
306,10,0,0,0,0.0,0,0,0,247.5,3,"(16, 0.001, 0.1)"
307,10,0,0,0,0.0,0,0,0,252.0,3,"(16, 0.001, 0.1)"
308,10,0,0,0,0.0,0,0,0,256.5,3,"(16, 0.001, 0.1)"
