,Cooperations,Defections,Cooperators,Defectors,TFT Performance,TFT Cooperations,VPP Performance,VPP Cooperations,WSLS Performance,WSLS Cooperations,iWSLS Performance,iWSLS Cooperations,LEARN Performance,MutualCooperations,LEARN Cooperations,moodyLEARN Performance,moodyMutualCooperations,moodyLEARN Cooperations,Model Params
2907,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,218550,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2908,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,218625,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2909,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,218700,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2910,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,218775,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2911,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,218850,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2912,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,218925,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2913,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,219000,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2914,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,219075,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2915,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,219150,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2916,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,219225,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2917,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,219300,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2918,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,219375,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2919,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,219450,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2920,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,219525,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2921,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,219600,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2922,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,219675,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2923,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,219750,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2924,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,219825,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2925,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,219900,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2926,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,219975,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2927,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,220050,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2928,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,220125,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2929,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,220200,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2930,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,220275,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2931,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,220350,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2932,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,220425,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2933,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,220500,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2934,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,220575,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2935,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,220650,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2936,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,220725,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2937,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,220800,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2938,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,220875,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2939,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,220950,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2940,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,221025,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2941,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,221100,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2942,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,221175,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2943,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,221250,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2944,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,221325,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2945,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,221400,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2946,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,221475,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2947,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,221550,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2948,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,221625,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2949,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,221700,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2950,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,221775,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2951,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,221850,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2952,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,221925,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2953,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,222000,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2954,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,222075,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2955,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,222150,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2956,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,222225,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2957,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,222300,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2958,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,222375,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2959,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,222450,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2960,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,222525,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2961,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,222600,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2962,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,222675,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2963,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,222750,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2964,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,222825,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2965,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,222900,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2966,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,222975,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2967,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,223050,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2968,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,223125,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2969,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,223200,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2970,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,223275,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
2971,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,223350,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
